Configuration,,,,,,Position,,,Force and Moment,,,,,,Tool Deflection,,,Tool Holder Deflection,,,CAD- CNC = tool+springback,,,CAD- Robot = Robot deflection+tool+holder+springback,,,Springback,,,Rob def,,,,VJM Prediction ,,
Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,p_x,p_y,p_z,f_x,f_y,f_z,m_x,m_y,m_z,tool_d_x,tool_d_y,tool_d_z,tool_h_x,tool_h_y,tool_h_z,tool_spring_x,tool_spring_y,tool_spring_z,tool_holder_x,tool_holder_y,tool_holder_z,spring_dx,spring_dy,spring_dz,def_dx,def_dy,def_dz,,vjm_dx,vjm_dy,vjm_dz
-19.34,45.97,18.99,-179.95,-25.06,0,-35.566,-7.308,-11,-196.655,13.3057,465.454,-5.69458,40.8875,-3.5614,0.184201089,-0.012147678,-0.00207127,0.0209936443,-0.001407955464,-0.0004399191936,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.752138911,0.843891822,0.51053873,0.3043163557,0.3583025445,0.1232700808,,0.5103975535,1.349851765,-0.02817822187
-19.34,45.97,18.99,-179.95,-25.06,0,-26.443,-24.883,-11,-156.799,121.765,453.369,21.2402,38.9832,-4.422,0.147030097,-0.113788876,-0.002017492,0.01674523811,-0.01298838182,-0.0004284971767,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.789309903,0.742250624,0.510592508,0.3085647619,0.3467221182,0.1232815028,,0.4833270907,1.292184575,-0.1146707947
-19.34,45.97,18.99,-179.95,-25.06,0,-9.454,-35.057,-11,-73.7305,162.231,457.764,37.0789,26.4404,-4.22974,0.069338756,-0.151822939,-0.00203705,0.007881980554,-0.01731344757,-0.000432651067,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.867001244,0.704216561,0.51057295,0.3174280194,0.3423970524,0.1232773489,,0.4431504518,1.221690052,-0.1439773436
-19.34,45.97,18.99,-179.95,-25.06,0,10.347,-34.804,-11,17.1509,178.65,459.351,47.6715,7.79114,-4.7699,-0.015758831,-0.167367386,-0.002044112,-0.00181881915,-0.01907277321,-0.0004341510041,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.920581169,0.688672114,0.510565888,0.3234911808,0.3406377268,0.123275849,,0.3923191741,1.126738805,-0.1548276984
-19.34,45.97,18.99,-179.95,-25.06,0,25.568,-25.781,-11,118.591,147.522,456.421,46.344,-15.7288,-6.00586,-0.110821168,-0.138350745,-0.002031073,-0.01264975479,-0.0157552857,-0.0004313817439,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.825518832,0.717688755,0.510578927,0.3126602452,0.3439552143,0.1232786183,,0.3283915203,1.001465322,-0.1285219061
-19.34,45.97,18.99,-179.95,-25.06,0,35.293,-8.531,-11,194.702,61.6455,461.06,31.1188,-36.8591,-6.95801,-0.182234579,-0.058027096,-0.002051717,-0.020779727,-0.006592179351,-0.0004357662484,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.754105421,0.798012404,0.510558283,0.304530273,0.3531183206,0.1232742338,,0.2826513201,0.9152155493,-0.05884709579
-19.34,45.97,18.99,-179.95,-25.06,0,34.521,11.256,-11,201.233,-46.3867,462.646,6.95801,-45.2087,-7.02209,-0.188521571,0.043134063,-0.002058775,-0.02148364443,0.004939488179,-0.0004372652404,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.747818429,0.812905437,0.510551225,0.3038263556,0.3547710118,0.1232727348,,0.2732162979,0.8946334231,0.02820997744
-19.34,45.97,18.99,-179.95,-25.06,0,23.481,27.695,-11,142.761,-140.137,457.886,-18.1,-39.4958,-6.44531,-0.133911926,0.131014809,-0.002037593,-0.01524784925,0.01495034906,-0.000432766374,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.802428074,0.725024691,0.510572407,0.3100621508,0.3447601509,0.1232772336,,0.296953386,0.9323969813,0.1029240372
-19.34,45.97,18.99,-179.95,-25.06,0,5.457,35.897,-11,41.1377,-191.223,463.013,-36.0901,-22.879,-5.58472,-0.038831326,0.179003476,-0.002060408,-0.004403422333,0.02040942192,-0.0004376121068,0.93634,0.8560395,0.51261,1.26165,1.21575,0.63632,0.897508674,0.677036024,0.510549592,0.3209065777,0.3393010781,0.1232723879,,0.3565345975,1.047722338,0.1421848528
