x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
75,0.000001,75,75,0.000001,75,0,0,0,0,0,0,0,4.74,3.35,-0.153087,3.35
72,0.000001,75,72,0.000001,75,0,0,0,0,0,0,0,7.63,2.77,-0.451515,7.09
69,0.000001,75,69,0.000001,75,0,0,0,0,0,0,0,11.22,4.03,-1.07,10.42
66,0.000001,75,66,0.000001,75,0,0,0,0,0,0,0,13.70,5.08,-1.51,12.63
63,0.000001,75,63,0.000001,75,0,0,0,0,0,0,0,15.88,5.85,-1.65,14.68
60,0.000001,75,60,0.000001,75,0,0,0,0,0,0,0,18.06,6.90,-1.58,16.62
57,0.000001,75,57,0.000001,75,0,0,0,0,0,0,0,20.43,7.73,-1.35,18.87
54,0.000001,75,54,0.000001,75,0,0,0,0,0,0,0,23.25,8.96,-0.936505,21.43
51,0.000001,75,51,0.000001,75,0,0,0,0,0,0,0,27.08,10.12,-0.271395,25.11
48,0.000001,75,48,0.000001,75,0,0,0,0,0,0,0,29.08,11.17,0.514648,26.85
45,0.000001,75,45,0.000001,75,0,0,0,0,0,0,0,30.70,12.04,1.33,28.22
42,0.000001,75,42,0.000001,75,0,0,0,0,0,0,0,36.46,14.07,2.07,33.57
39,0.000001,75,39,0.000001,75,0,0,0,0,0,0,0,37.51,15.54,1.88,34.09
36,0.000001,75,36,0.000001,75,0,0,0,0,0,0,0,32.52,14.04,1.11,29.31
33,0.000001,75,33,0.000001,75,0,0,0,0,0,0,0,30.34,11.97,0.875392,27.86
30,0.000001,75,30,0.000001,75,0,0,0,0,0,0,0,27.11,9.52,0.995270,25.36
27,0.000001,75,27,0.000001,75,0,0,0,0,0,0,0,25.65,8.97,1.10,24.01
24,0.000001,75,24,0.000001,75,0,0,0,0,0,0,0,24.37,7.52,0.966480,23.16
21,0.000001,75,21,0.000001,75,0,0,0,0,0,0,0,22.70,7.95,0.661838,21.26
18,0.000001,75,18,0.000001,75,0,0,0,0,0,0,0,17.12,5.69,0.140185,16.15
15,0.000001,75,15,0.000001,75,0,0,0,0,0,0,0,14.53,5.72,-0.257888,13.36
12,0.000001,75,12,0.000001,75,0,0,0,0,0,0,0,10.84,3.23,-0.496642,10.34
9,0.000001,75,9,0.000001,75,0,0,0,0,0,0,0,9.49,4.16,-0.652392,8.51
6,0.000001,75,6,0.000001,75,0,0,0,0,0,0,0,6.79,1.80,-0.771059,6.50
3,0.000001,75,3,0.000001,75,0,0,0,0,0,0,0,6.68,2.83,-0.845498,5.99
0,0.000001,75,0.000000,0.000001,75,0.00,0,0,0.00,0.00,0,0,5.73,0.034544,-0.883913,5.66
-3,0.000001,75,-3,0.000001,75,0,0,0,0,0,0,0,6.54,1.35,-0.842944,6.34
-6,0.000001,75,-6,0.000001,75,0,0,0,0,0,0,0,7.42,-1.48,-0.777214,7.23
-9,0.000001,75,-9,0.000001,75,0,0,0,0,0,0,0,8.80,-0.438318,-0.647963,8.77
-12,0.000001,75,-12,0.000001,75,0,0,0,0,0,0,0,11.84,-3.78,-0.378440,11.22
-15,0.000001,75,-15,0.000001,75,0,0,0,0,0,0,0,14.45,-3.09,-0.006780,14.12
-18,0.000001,75,-18,0.000001,75,0,0,0,0,0,0,0,19.34,-6.35,0.515827,18.26
-21,0.000001,75,-21,0.000001,75,0,0,0,0,0,0,0,22.65,-5.54,0.894805,21.94
-24,0.000001,75,-24,0.000001,75,0,0,0,0,0,0,0,25.57,-7.58,1.06,24.39
-27,0.000001,75,-27,0.000001,75,0,0,0,0,0,0,0,25.05,-6.90,0.970951,24.06
